x;u counted;u absolute;delta
2;6.59005;4.17734;2.41271;
2.06667;6.46073;4.04651;2.41422;
2.13333;6.33935;3.92059;2.41876;
2.2;6.22575;3.79942;2.42632;
2.26667;6.11978;3.68285;2.43693;
2.33333;6.02132;3.57073;2.45059;
2.4;5.93024;3.46292;2.46731;
2.46667;5.84642;3.35929;2.48713;
2.53333;5.76977;3.25971;2.51006;
2.6;5.70018;3.16404;2.53614;
2.66667;5.63758;3.07218;2.5654;
2.73333;5.58187;2.98401;2.59786;
2.8;5.53299;2.89941;2.63359;
2.86667;5.49089;2.81828;2.67261;
2.93333;5.45549;2.74052;2.71498;
3;5.42678;2.66603;2.76075;
3.06667;5.40469;2.59472;2.80997;
3.13333;5.38922;2.5265;2.86272;
3.2;5.38033;2.46128;2.91906;
3.26667;5.37803;2.39898;2.97905;
3.33333;5.3823;2.33953;3.04277;
3.4;5.39315;2.28284;3.1103;
3.46667;5.41059;2.22886;3.18173;
3.53333;5.43465;2.1775;3.25715;
3.6;5.46535;2.12871;3.33664;
3.66667;5.50274;2.08242;3.42032;
3.73333;5.54686;2.03858;3.50828;
3.8;5.59777;1.99714;3.60063;
3.86667;5.65553;1.95803;3.6975;
3.93333;5.72021;1.92122;3.799;
4;5.7919;1.88665;3.90525;
4.06667;5.87067;1.85428;4.0164;
4.13333;5.95665;1.82407;4.13258;
4.2;6.04992;1.79598;4.25393;
4.26667;6.1506;1.76999;4.38062;
4.33333;6.25884;1.74605;4.51279;
4.4;6.37474;1.72413;4.65061;
4.46667;6.49848;1.70422;4.79426;
4.53333;6.63019;1.68627;4.94392;
4.6;6.77004;1.67028;5.09977;
4.66667;6.91822;1.65622;5.262;
4.73333;7.0749;1.64407;5.43083;
4.8;7.24028;1.63382;5.60646;
4.86667;7.41457;1.62545;5.78912;
4.93333;7.59798;1.61896;5.97902;
5;7.79075;1.61433;6.17642;
5.06667;7.99312;1.61157;6.38155;
5.13333;8.20533;1.61066;6.59468;
5.2;8.42767;1.61161;6.81606;
5.26667;8.6604;1.61441;7.04599;
5.33333;8.90382;1.61908;7.28474;
5.4;9.15823;1.62561;7.53262;
5.46667;9.42395;1.63402;7.78993;
5.53333;9.70131;1.64431;8.057;
5.6;9.99066;1.6565;8.33417;
5.66667;10.2924;1.6706;8.62177;
5.73333;10.6068;1.68664;8.92017;
5.8;10.9344;1.70462;9.22975;
5.86667;11.2755;1.72458;9.55089;
5.93333;11.6305;1.74654;9.88399;
6;12;1.77052;10.2295;
6.06667;11.6598;1.79656;9.86326;
6.13333;11.3341;1.82469;9.50941;
6.2;11.0224;1.85495;9.16746;
6.26667;10.7244;1.88736;8.837;
6.33333;10.4396;1.92198;8.51761;
6.4;10.1677;1.95885;8.20888;
6.46667;9.90844;1.998;7.91044;
6.53333;9.66141;2.0395;7.62191;
6.6;9.42632;2.08339;7.34293;
6.66667;9.20287;2.12973;7.07314;
6.73333;8.99079;2.17857;6.81222;
6.8;8.78981;2.22998;6.55983;
6.86667;8.59968;2.28403;6.31565;
6.93333;8.42016;2.34077;6.07939;
7;8.25103;2.40029;5.85074;
7.06667;8.09207;2.46265;5.62943;
7.13333;7.94309;2.52793;5.41516;
7.2;7.80389;2.59621;5.20768;
7.26667;7.67431;2.66759;5.00672;
7.33333;7.55418;2.74215;4.81203;
7.4;7.44335;2.81998;4.62337;
7.46667;7.34168;2.90118;4.4405;
7.53333;7.24905;2.98586;4.26319;
7.6;7.16534;3.07411;4.09123;
7.66667;7.09044;3.16605;3.92439;
7.73333;7.02426;3.2618;3.76246;
7.8;6.96672;3.36147;3.60525;
7.86667;6.91774;3.46519;3.45255;
7.93333;6.87727;3.57309;3.30418;
8;6.84525;3.6853;3.15995;
8.06667;6.82165;3.80197;3.01967;
8.13333;6.80642;3.92324;2.88318;
8.2;6.79957;4.04926;2.7503;
8.26667;6.80106;4.18019;2.62087;
8.33333;6.81092;4.3162;2.49472;
8.4;6.82915;4.45745;2.37169;
8.46667;6.85576;4.60413;2.25164;
8.53333;6.89081;4.75641;2.1344;
8.6;6.93433;4.91448;2.01984;
8.66667;6.98636;5.07856;1.90781;
8.73333;7.04699;5.24883;1.79817;
8.8;7.11629;5.42551;1.69078;
8.86667;7.19434;5.60883;1.58551;
8.93333;7.28124;5.79901;1.48222;
9;7.3771;5.9963;1.3808;
9.06667;7.48203;6.20094;1.2811;
9.13333;7.59618;6.41318;1.183;
9.2;7.71968;6.63329;1.08639;
9.26667;7.85269;6.86155;0.991141;
9.33333;7.99538;7.09825;0.897131;
9.4;8.14792;7.34367;0.804246;
9.46667;8.3105;7.59813;0.712368;
9.53333;8.48334;7.86195;0.621382;
9.6;8.66663;8.13546;0.531175;
9.66667;8.86063;8.41899;0.441633;
9.73333;9.06556;8.71291;0.352644;
9.8;9.28168;9.01758;0.264098;
9.86667;9.50927;9.33339;0.175881;
9.93333;9.74861;9.66072;0.0878855;
10;10;10;7.81597e-14;
;; max:;10.2295
